Designator,Mid X,Mid Y,Rotation,Layer
BT1,45.5,-27.5,180.0,bottom
CN2,1.96825,-51.65,180.0,top
D1,5.2,-44.2875,90.0,top
R1,88.5,-1.9,-90.0,top
R10,88.5,-30.7,-90.0,top
R100,59.1,-14.7,-90.0,top
R101,59.1,-17.9,-90.0,top
R102,59.1,-21.1,-90.0,top
R103,59.1,-24.3,-90.0,top
R104,59.1,-27.5,-90.0,top
R105,59.1,-30.7,-90.0,top
R106,59.1,-33.9,-90.0,top
R107,59.1,-37.1,-90.0,top
R108,59.1,-40.3,-90.0,top
R109,59.1,-43.5,-90.0,top
R11,83.6,-1.9,-90.0,top
R110,59.1,-46.7,-90.0,top
R111,59.1,-49.9,-90.0,top
R112,59.1,-53.1,-90.0,top
R113,54.2,-1.9,-90.0,top
R114,54.2,-5.1,-90.0,top
R115,54.2,-8.3,-90.0,top
R116,54.2,-11.5,-90.0,top
R117,54.2,-14.7,-90.0,top
R118,54.2,-17.9,-90.0,top
R119,54.2,-21.1,-90.0,top
R12,83.6,-5.1,-90.0,top
R120,54.2,-24.3,-90.0,top
R121,54.2,-27.5,-90.0,top
R122,54.2,-30.7,-90.0,top
R123,54.2,-33.9,-90.0,top
R124,54.2,-37.1,-90.0,top
R125,54.2,-40.3,-90.0,top
R126,54.2,-43.5,-90.0,top
R127,54.2,-46.7,-90.0,top
R128,54.2,-49.9,-90.0,top
R129,54.2,-53.1,-90.0,top
R13,83.6,-8.3,-90.0,top
R130,49.3,-1.9,-90.0,top
R131,49.3,-5.1,-90.0,top
R132,49.3,-8.3,-90.0,top
R133,49.3,-11.5,-90.0,top
R134,49.3,-14.7,-90.0,top
R135,49.3,-17.9,-90.0,top
R136,49.3,-21.1,-90.0,top
R137,49.3,-24.3,-90.0,top
R138,49.3,-27.5,-90.0,top
R139,49.3,-30.7,-90.0,top
R14,83.6,-11.5,-90.0,top
R140,49.3,-33.9,-90.0,top
R141,49.3,-37.1,-90.0,top
R142,49.3,-40.3,-90.0,top
R143,49.3,-43.5,-90.0,top
R144,49.3,-46.7,-90.0,top
R145,49.3,-49.9,-90.0,top
R146,49.3,-53.1,-90.0,top
R147,44.4,-1.9,-90.0,top
R148,44.4,-5.1,-90.0,top
R149,44.4,-8.3,-90.0,top
R15,83.6,-14.7,-90.0,top
R150,44.4,-11.5,-90.0,top
R151,44.4,-14.7,-90.0,top
R152,44.4,-17.9,-90.0,top
R153,44.4,-21.1,-90.0,top
R154,44.4,-24.3,-90.0,top
R155,44.4,-27.5,-90.0,top
R156,44.4,-30.7,-90.0,top
R157,44.4,-33.9,-90.0,top
R158,44.4,-37.1,-90.0,top
R159,44.4,-40.3,-90.0,top
R16,83.6,-17.9,-90.0,top
R160,44.4,-43.5,-90.0,top
R161,44.4,-46.7,-90.0,top
R162,44.4,-49.9,-90.0,top
R163,44.4,-53.1,-90.0,top
R164,39.5,-1.9,-90.0,top
R165,39.5,-5.1,-90.0,top
R166,39.5,-8.3,-90.0,top
R167,39.5,-11.5,-90.0,top
R168,39.5,-14.7,-90.0,top
R169,39.5,-17.9,-90.0,top
R17,83.6,-21.1,-90.0,top
R170,39.5,-21.1,-90.0,top
R171,39.5,-24.3,-90.0,top
R172,39.5,-27.5,-90.0,top
R173,39.5,-30.7,-90.0,top
R174,39.5,-33.9,-90.0,top
R175,39.5,-37.1,-90.0,top
R176,39.5,-40.3,-90.0,top
R177,39.5,-43.5,-90.0,top
R178,39.5,-46.7,-90.0,top
R179,39.5,-49.9,-90.0,top
R18,83.6,-24.3,-90.0,top
R180,39.5,-53.1,-90.0,top
R181,34.6,-1.9,-90.0,top
R182,34.6,-5.1,-90.0,top
R183,34.6,-8.3,-90.0,top
R184,34.6,-11.5,-90.0,top
R185,34.6,-14.7,-90.0,top
R186,34.6,-17.9,-90.0,top
R187,34.6,-21.1,-90.0,top
R188,34.6,-24.3,-90.0,top
R189,34.6,-27.5,-90.0,top
R19,83.6,-27.5,-90.0,top
R190,34.6,-30.7,-90.0,top
R191,34.6,-33.9,-90.0,top
R192,34.6,-37.1,-90.0,top
R193,34.6,-40.3,-90.0,top
R194,34.6,-43.5,-90.0,top
R195,34.6,-46.7,-90.0,top
R196,34.6,-49.9,-90.0,top
R197,34.6,-53.1,-90.0,top
R198,29.7,-1.9,-90.0,top
R199,29.7,-5.1,-90.0,top
R2,88.5,-5.1,-90.0,top
R20,83.6,-30.7,-90.0,top
R200,29.7,-8.3,-90.0,top
R201,29.7,-11.5,-90.0,top
R202,29.7,-14.7,-90.0,top
R203,29.7,-17.9,-90.0,top
